#,,Deutsch,Bedeutung ,Beispiel,Example,Takeaway
620,das,"Gut, Güter","good, property, goods",Ich wünsche dir alles Gute.,I wish you all the best.,
621,das,Gute,good one,Das ist eine Gute.,That's a good one.,
622,,Gute Nacht,good night,"Gute Nacht, schlaf gut.","Good night, sleep well.",
623,die,"Güte, -","kindness, goodness",Er hat eine große Güte.,He has a great kindness.,
624,der,"Gürtel, -",belt,Der Gürtel ist schwarz.,The belt is black.,
625,,Guten Abend,good evening,"Guten Abend, wie geht es Ihnen?","Good evening, how are you?",
626,,Guten Morgen,good morning,"Guten Morgen, Kaffee ist fertig.","Good morning, coffee is ready.",
627,,Guten Tag,good day,"Guten Tag, Herr Schmidt.","Good day, Mr. Schmidt.",
628,das,"Gymnasium, -sien",high school (academic),Ich gehe aufs Gymnasium.,I am attending high school.,
629,die,"Gymnastik, -",gymnastics,Ich mache Gymnastik.,I am doing gymnastics.,
630,das,"Haar, e",hair,Sie hat lange Haare.,She has long hair.,
631,das,"Haben, -","possession, having",Haben ist besser als brauchen.,Having is better than needing.,
632,das,Hackfleisch,ground meat,Ich kaufe Hackfleisch.,I am buying ground meat.,
633,der,"Hafen, Häfen","port, harbor",Das Schiff liegt im Hafen.,The ship is in the port.,
634,die,"Hafeneinfahrt, en",harbor entrance,Die Hafeneinfahrt ist eng.,The harbor entrance is narrow.,
635,der,"Hahn, Hähne","rooster, faucet",Der Hahn kräht.,The rooster is crowing.,
636,das,"Hähnchen, -",chicken (meat),Ich esse ein Hähnchen.,I am eating a chicken.,
637,der,"Hai, e",shark,Der Hai schwimmt im Meer.,The shark is swimming in the sea.,
638,die,"Halbpension, -",half board,Wir buchen Halbpension.,We are booking half board.,
639,die,"Hälfte, n",half,Die Hälfte ist für dich.,Half is for you.,
640,die,"Halle, n","hall, warehouse",Die Halle ist groß.,The hall is large.,
641,der,Hals-Nasen-Ohren-Arzt,ENT doctor,Ich gehe zum HNO-Arzt.,I am going to the ENT doctor.,
642,der,"Hals, Hälse","neck, throat",Mein Hals tut weh.,My throat hurts.,
643,der,"Halsschmerz, en",sore throat,Ich habe Halsschmerzen.,I have a sore throat.,
644,die,"Halt, e",stop,Der Bus macht Halt an der Ecke.,The bus makes a stop at the corner.,
645,die,"Haltestelle, n",bus/tram stop,Die Bushaltestelle ist dort drüben.,The bus stop is over there.,
646,die,"Hand, Hände",hand,Ich habe zwei Hände.,I have two hands.,
647,der,"Handball, -",handball,Er spielt Handball.,He plays handball.,
648,die,"Handtasche, n","handbag, purse",Meine Handtasche ist neu.,My handbag is new.,
649,das,"Handtuch, -tücher",towel,Das Handtuch ist nass.,The towel is wet.,
650,der,"Handwerker, -","craftsman, tradesman",Der Handwerker repariert die Tür.,The craftsman is repairing the door.,
651,die,"Handwerkerin, nen",craftswoman,Die Handwerkerin baut Möbel.,The craftswoman is building furniture.,
652,das,"Handy, s",mobile phone,Mein Handy ist kaputt.,My mobile phone is broken.,
653,die,"Handynummer, n",mobile number,Was ist deine Handynummer?,What is your mobile number?,
654,der,"Hase, n","hare, rabbit",Der Hase hoppelt im Feld.,The hare is hopping in the field.,
655,das,"Haupt, Häupter","head (formal, poetic)",Die Häupter der Könige.,The heads of the kings.,
656,das,"Hauptgericht, e",main course,Das Hauptgericht war lecker.,The main course was delicious.,
657,die,"Hauptspeise, n",main course,Als Hauptspeise gibt es Fisch.,Fish is served as the main course.,
658,die,"Hauptstadt, -städte",capital city,Berlin ist die Hauptstadt von Deutschland.,Berlin is the capital city of Germany.,
659,das,"Haus, Häuser",house,Das Haus ist groß.,The house is big.,
660,die,"Hausfrau, en",housewife,Meine Mutter ist Hausfrau.,My mother is a housewife.,
661,der,"Hausmann, -männer",househusband,Er ist Hausmann.,He is a househusband.,
662,das,"Hausmittel, -",home remedy,Ein Hausmittel gegen Husten.,A home remedy for a cough.,
663,die,"Hefe, n",yeast,Die Hefe lässt den Teig aufgehen.,The yeast makes the dough rise.,
664,das,"Heft, e",notebook,Ich schreibe in mein Heft.,I am writing in my notebook.,
665,die,"Heimat, en","homeland, home",Meine Heimat ist klein.,My homeland is small.,
666,das,Heimatland,"homeland, home country",Mein Heimatland ist schön.,My home country is beautiful.,
667,die,"Heizdecke, n",electric blanket,Ich benutze eine Heizdecke.,I am using an electric blanket.,
668,der,"Heizer, -","stoker, heating engineer",Der Heizer kümmert sich um die Heizung.,The heating engineer is taking care of the heating system.,
669,die,"Heizung, -","heating, heater",Die Heizung ist warm.,The heater is warm.,
670,der,"Helfer, -",helper (male),Der Helfer hilft mir.,The helper is helping me.,
671,die,"Helle, -","brightness, light",Das Zimmer hat eine schöne Helle.,The room has a nice brightness.,
672,der,"Helm, e",helmet,Er trägt einen Helm.,He is wearing a helmet.,
673,das,"Hemd, en",shirt,Das Hemd ist blau.,The shirt is blue.,
674,die,"Henne, n",hen,Die Henne legt ein Ei.,The hen is laying an egg.,
675,die,"Herberge, n","hostel, inn",Wir übernachten in einer Herberge.,We are staying overnight in a hostel.,
676,der,"Herbst, e","autumn, fall",Im Herbst fallen die Blätter.,"In autumn, the leaves fall.",
677,der,"Herd, e",stove,Der Herd ist heiß.,The stove is hot.,
678,der,"Herr, en","Mr., sir","Herr Müller, wie geht es Ihnen?","Mr. Müller, how are you?",
679,die,"Herrenmode, n",men's fashion,Er kauft Herrenmode.,He is buying men's fashion.,
680,das,"Herz, en",heart,Mein Herz schlägt schnell.,My heart is beating fast.,
681,die,"Hexe, n",witch,Die Hexe fliegt auf einem Besen.,The witch is flying on a broom.,
682,die,"Hilfe, n",help,Ich brauche Hilfe.,I need help.,
683,das,"Hilfsverb, en",auxiliary verb,"Das Verb ""haben"" ist ein Hilfsverb.","The verb ""haben"" is an auxiliary verb.",
684,die,"Himbeere, n",raspberry,Die Himbeere ist rot.,The raspberry is red.,
685,die,"Hitliste, n","hit list, chart",Der Song ist auf der Hitliste.,The song is on the charts.,
686,das,"Hobby, s",hobby,Mein Hobby ist lesen.,My hobby is reading.,
687,das,"Hochhaus, -häuser",high-rise building,Wir wohnen in einem Hochhaus.,We live in a high-rise building.,
688,der,"Hof, Höfe","courtyard, farm",Der Hof ist groß.,The courtyard is large.,
689,die,"Höhe, n",height,Die Höhe des Baumes beträgt 10 Meter.,The height of the tree is 10 meters.,
690,die,"Höhle, n",cave,Die Fledermaus lebt in der Höhle.,The bat lives in the cave.,
691,das,"Holz, Hölzer",wood,Das Haus ist aus Holz.,The house is made of wood.,
692,die,"Homepage, s",homepage,Die Homepage der Firma ist modern.,The company's homepage is modern.,
693,der,"Honig, e",honey,Der Honig ist süß.,The honey is sweet.,
694,die,"Hose, n","trousers, pants",Die Hose ist blau.,The trousers are blue.,
695,das,"Hotel, s",hotel,Wir übernachten im Hotel.,We are staying overnight at the hotel.,
696,das,"Huhn, Hühner",chicken,Das Huhn legt Eier.,The chicken lays eggs.,
697,der,"Hund, e",dog,Der Hund bellt.,The dog is barking.,
698,die,"Hundert, en",hundred,Die Zahl ist hundert.,The number is one hundred.,
699,der,"Hunger, -",hunger,Ich habe Hunger.,I am hungry.,
700,der,"Husten, -",cough,Er hat starken Husten.,He has a bad cough.,
701,der,"Hustensaft, -säfte",cough syrup,Ich brauche Hustensaft.,I need cough syrup.,
702,der,"Hut, Hüte",hat,Der Mann trägt einen Hut.,The man is wearing a hat.,
703,die,"Hütte, n","hut, cabin",Wir wohnen in einer kleinen Hütte.,We live in a small hut.,
704,das,"Ich, s","I, ego",Das Ich ist wichtig für die Identität.,The ego is important for identity.,
705,das,"Ideal, e",ideal,Das ist mein Ideal.,That is my ideal.,
706,die,"Idee, n",idea,Ich habe eine Idee.,I have an idea.,
707,der,"Igel, -",hedgehog,Der Igel hat Stacheln.,The hedgehog has quills.,
708,der,"Infinitiv, e",infinitive,"Der Infinitiv des Verbs ist ""gehen"".","The infinitive of the verb is ""gehen.""",
709,die,"Info, s",info,Ich brauche mehr Infos.,I need more info.,
710,der,"Informatiker, -",computer scientist,Der Informatiker programmiert Software.,The computer scientist is programming software.,
711,die,"Informatikerin, nen",computer scientist (female),Die Informatikerin entwickelt Apps.,The female computer scientist is developing apps.,
712,die,"Information, en",information,Ich brauche eine Information.,I need a piece of information.,
713,der,"Ingenieur, e",engineer,Der Ingenieur plant die Brücke.,The engineer is planning the bridge.,
714,die,"Ingenieurin, nen",engineer (female),Die Ingenieurin arbeitet an einem neuen Projekt.,The female engineer is working on a new project.,
715,die,"Inklusion, en",inclusion,Inklusion ist wichtig für die Gesellschaft.,Inclusion is important for society.,
716,die,"Insel, n",island,Wir fahren auf eine Insel.,We are traveling to an island.,
717,das,"Inserat, e",advertisement,Ich sehe das Inserat in der Zeitung.,I see the advertisement in the newspaper.,
718,das,"Internet, -",internet,Ich surfe im Internet.,I am surfing the internet.,
719,der,"Interrogrativartikel, -",interrogative pronoun,Welcher ist ein Interrogativartikel?,Which one is an interrogative pronoun?,
720,die,Iran,Iran,Der Iran liegt in Asien.,Iran is located in Asia.,
721,der,"Irrtum, Irrtümer","mistake, error",Das ist ein großer Irrtum.,That is a big mistake.,
722,,"Italien, Italienisch","Italy, Italian",Italienisch ist eine schöne Sprache.,Italian is a beautiful language.,
723,die,"Jacke, n",jacket,Die Jacke ist warm.,The jacket is warm.,
724,das,"Jahr, e",year,Das Jahr hat zwölf Monate.,The year has twelve months.,
725,die,"Jahreszeit, en",season,Meine Lieblingsjahreszeit ist der Sommer.,My favorite season is summer.,
726,der,"Jahrgang, -gänge","year, vintage",Er ist mein Jahrgang.,He is from my year.,
727,der,"Januar, e",January,Im Januar ist es kalt.,"In January, it is cold.",
728,die,"Jeans, -",jeans,Die Jeans ist blau.,The jeans are blue.,
729,das,"Jetzt, -",now,Ich will es jetzt.,I want it now.,
730,der,"Job, s",job,Ich habe einen neuen Job.,I have a new job.,
731,die,"Jobsuche, n",job search,Die Jobsuche ist anstrengend.,The job search is exhausting.,
732,der,"Joghurt, s",yogurt,Ich esse Joghurt zum Frühstück.,I'm eating yogurt for breakfast.,
733,die,"Johannisbeere, n",currant,Die Johannisbeere ist sauer.,The currant is sour.,
734,das,"Journal, e",journal,Ich schreibe in mein Journal.,I am writing in my journal.,
735,der,"Journalist, en",journalist,Der Journalist schreibt einen Artikel.,The journalist is writing an article.,
736,die,"Journalistin, nen",journalist (female),Die Journalistin recherchiert für eine Reportage.,The female journalist is doing research for a report.,
737,die,"Jugendherberge, n",youth hostel,Wir übernachten in einer Jugendherberge.,We are staying overnight in a youth hostel.,
738,der,"Juli, s",July,Im Juli ist es heiß.,"In July, it is hot.",
739,der,"Junge, n",boy,Der Junge spielt Fußball.,The boy is playing soccer.,
740,der,"Juni, s",June,Im Juni ist der Sommeranfang.,The beginning of summer is in June.,
741,das,"Kabel, -",cable,Das Kabel ist lang.,The cable is long.,
742,der,"Kaffee, s",coffee,Ich trinke gerne Kaffee.,I like to drink coffee.,
743,die,"Kaffeemaschine, n",coffee machine,Die Kaffeemaschine ist kaputt.,The coffee machine is broken.,
744,der,"Kahn, Kähne","barge, skiff",Der Kahn schwimmt auf dem See.,The barge is floating on the lake.,
745,der,"Kaiser, -",emperor,Der Kaiser regiert das Reich.,The emperor is ruling the empire.,
746,der,Kakao,cocoa,Ich trinke eine Tasse Kakao.,I am drinking a cup of cocoa.,
747,der,"Kalender, -",calendar,Der Kalender hängt an der Wand.,The calendar is hanging on the wall.,
748,das,"Kamel, e",camel,Das Kamel lebt in der Wüste.,The camel lives in the desert.,
749,die,"Kamille, n",chamomile,Kamille ist gut bei Magenproblemen.,Chamomile is good for stomach problems.,
750,der,"Kamillentee, s",chamomile tea,Ich trinke Kamillentee.,I am drinking chamomile tea.,
751,der,"Kamm, Kämme",comb,Ich kämme meine Haare.,I am combing my hair.,
752,die,"Kammer, -","chamber, room",Das ist eine kleine Kammer.,That is a small chamber.,
753,der,"Kanal, Kanäle","canal, channel",Der Kanal ist breit.,The canal is wide.,
754,die,"Kanne, n","pot, jug",Die Kanne ist aus Glas.,The jug is made of glass.,
755,die,"Kantine, n",cafeteria,Wir essen in der Kantine.,We are eating in the cafeteria.,
756,die,"Kapazität, en",capacity,Die Kapazität des Saals ist begrenzt.,The capacity of the hall is limited.,
757,der,"Kapitän, e",captain (male),Der Kapitän steuert das Schiff.,The captain is steering the ship.,
758,die,"Kapitänin, nen",captain (female),Die Kapitänin führt die Mannschaft.,The female captain is leading the team.,
759,die,"Karotte, n",carrot,Die Karotte ist orange.,The carrot is orange.,
760,die,"Karre, n","cart, wheelbarrow",Die Karre ist voll.,The cart is full.,
761,die,"Karriere, n",career,Sie macht eine tolle Karriere.,She is having a great career.,
762,die,"Karte, n","map, card, ticket",Die Karte ist nützlich.,The map is useful.,
763,die,"Kartoffel, n",potato,Die Kartoffel ist eine Knolle.,The potato is a tuber.,
764,der,"Käse, -",cheese,Ich esse gerne Käse.,I like to eat cheese.,
765,der,Käsetheke,cheese counter,Ich kaufe Käse an der Käsetheke.,I am buying cheese at the cheese counter.,
766,die,"Kasse, n",cash register,Die Kasse ist besetzt.,The cash register is occupied.,
767,der,"Kassenzettel, -",receipt,Ich brauche den Kassenzettel.,I need the receipt.,
768,der,"Kassierer, -",cashier (male),Der Kassierer scannt die Waren.,The cashier is scanning the goods.,
769,die,"Kassiererin, nen",cashier (female),Die Kassiererin ist schnell.,The female cashier is fast.,
770,der,"Kasten, Kästen","box, crate",Der Kasten ist schwer.,The box is heavy.,
771,der,"Kasus, -",case (grammar),Der Genitiv ist ein Kasus.,The genitive is a case.,
772,der,"Katalog, e",catalog,Ich bestelle aus dem Katalog.,I am ordering from the catalog.,
773,die,"Katze, n",cat,Die Katze schläft auf dem Sofa.,The cat is sleeping on the sofa.,
774,das,"Kaufhaus, -häuser",department store,Wir gehen ins Kaufhaus.,We are going to the department store.,
775,die,"Kehle, n",throat (inner),Mein Hals und meine Kehle schmerzen.,My throat and inner throat hurt.,
776,der,"Keks, e","cookie, biscuit",Ich esse einen Keks.,I am eating a cookie.,
777,der,"Keller, -","cellar, basement",Der Keller ist kalt.,The cellar is cold.,
778,der,"Kellner, -",waiter,Der Kellner bringt die Rechnung.,The waiter is bringing the bill.,
779,die,"Kellnerin, nen",waitress,Die Kellnerin serviert das Essen.,The waitress is serving the food.,
780,die,"Kenntnis, se",knowledge,Er hat gute Kenntnisse.,He has good knowledge.,
781,der,"Kern, e","core, kernel",Der Kern des Apfels.,The core of the apple.,
782,der,"Kiel, e",keel (of a ship),Der Kiel des Schiffes ist lang.,The keel of the ship is long.,
783,das,Kilo,kilogram (colloquial),Ein Kilo Äpfel bitte.,"One kilogram of apples, please.",
784,das,"Kilogramm, -",kilogram,Ich brauche ein Kilogramm Zucker.,I need one kilogram of sugar.,
785,das,"Kind, er",child,Das Kind spielt im Garten.,The child is playing in the garden.,
786,der,"Kinderarzt, -ärzte",pediatrician,Wir gehen zum Kinderarzt.,We are going to the pediatrician.,
787,der,"Kindergarten, -gärten",kindergarten,Mein Sohn geht in den Kindergarten.,My son is going to kindergarten.,
788,das,"Kindergeld, er",child benefit,Ich erhalte Kindergeld.,I receive child benefit.,
789,das,"Kinderzimmer, -",children's room,Das Kinderzimmer ist bunt.,The children's room is colorful.,
790,das,"Kino, s","cinema, movie theater",Wir gehen ins Kino.,We are going to the cinema.,
791,die,"Kirche, n",church,Die Kirche ist alt.,The church is old.,
792,der,"Kirsch, -",cherry (used in compound nouns),Der Kirschbaum trägt Früchte.,The cherry tree is bearing fruit.,
793,die,"Kirsche, n",cherry,Die Kirsche ist rot.,The cherry is red.,
794,die,"Kirschtorte, n",black forest gateau,Die Kirschtorte schmeckt gut.,The black forest gateau tastes good.,
795,die,"Kiste, n","box, crate",Die Kiste ist aus Holz.,The box is made of wood.,
796,die,"Kiwi, s",kiwi,Die Kiwi ist grün.,The kiwi is green.,
797,die,"Klage, n","complaint, lawsuit",Sie hat eine Klage eingereicht.,She has filed a lawsuit.,
798,die,"Klasse, n",class,Die Klasse hat 20 Schüler.,The class has 20 students.,
799,das,"Klassenzimmer, -",classroom,Das Klassenzimmer ist hell.,The classroom is bright.,
800,das,"Klavier, e",piano,Er spielt Klavier.,He is playing the piano.,
801,das,"Kleid, er",dress,Das Kleid ist neu.,The dress is new.,
802,das,"Kleidergeschäft, e",clothes shop,Ich gehe ins Kleidergeschäft.,I am going to the clothes shop.,
803,die,"Kleidung, en","clothes, clothing",Die Kleidung ist modisch.,The clothes are fashionable.,
804,die,"Klinge, n",blade,Die Klinge ist scharf.,The blade is sharp.,
805,die,"Klinke, n",door handle,Die Klinke ist aus Messing.,The door handle is made of brass.,
806,die,"Kneipe, n","pub, bar",Wir treffen uns in der Kneipe.,We are meeting at the pub.,
807,das,"Knie, -",knee,Mein Knie tut weh.,My knee hurts.,
808,der,"Knochen, -",bone,Der Hund frisst einen Knochen.,The dog is eating a bone.,
809,der,"Knopf, Knöpfe",button,Der Knopf ist abgerissen.,The button is torn off.,
810,der,"Koch, Köche","cook, chef",Der Koch bereitet das Essen zu.,The cook is preparing the food.,
811,der,"Kocher, -","cooker, stove",Der Kocher ist neu.,The cooker is new.,
812,die,"Köchin, nen","cook, chef (female)",Die Köchin macht eine Suppe.,The female chef is making a soup.,
813,der,"Koffer, -",suitcase,Mein Koffer ist schwer.,My suitcase is heavy.,
814,der,"Kohl, e",cabbage,Ich koche Kohl.,I am cooking cabbage.,
815,die,"Kohle, n",coal,Die Kohle brennt.,The coal is burning.,
816,die,"Kokosnuss, -nüsse",coconut,Die Kokosnuss ist groß.,The coconut is big.,
817,der,"Kollege, n",colleague (male),Mein Kollege ist sehr hilfsbereit.,My colleague is very helpful.,
818,die,"Kollegin, nen",colleague (female),Meine Kollegin arbeitet hart.,My female colleague is working hard.,
819,der,"Kölner, -",person from Cologne,Er ist ein Kölner.,He is a person from Cologne.,
820,die,"Kommentar, e",comment,Ich schreibe einen Kommentar.,I am writing a comment.,
821,der,"Kommissar, e",police commissioner,Der Kommissar löst den Fall.,The police commissioner is solving the case.,
822,die,"Kommunikation, en",communication,Die Kommunikation ist wichtig.,Communication is important.,
823,die,"Komödie, n",comedy,Der Film ist eine Komödie.,The movie is a comedy.,
824,die,"Komplikation, nen",complication,Es gab eine Komplikation.,There was a complication.,
825,die,"Komplizierung, en","complication, rendering more complex",Die Komplizierung des Problems.,The complication of the problem.,
826,der,"Komponist, en",composer,Der Komponist schreibt Musik.,The composer is writing music.,
827,die,"Komponistin, nen",composer (female),Die Komponistin ist sehr kreativ.,The female composer is very creative.,
828,das,"Kompositum, -sita",compound noun,Haustür ist ein Kompositum.,Haustür is a compound noun.,
829,der,"König, e",king,Der König regiert das Land.,The king is ruling the country.,
830,die,"Konsole, n",console,Ich spiele auf der Konsole.,I am playing on the console.,
831,der,"Kontakt, e",contact,Wir haben Kontakt.,We have contact.,
832,das,"Konzert, e",concert,Das Konzert beginnt um 8.,The concert starts at 8.,
833,das,"Konzerthaus, -häuser",concert hall,Wir gehen ins Konzerthaus.,We are going to the concert hall.,
834,der,"Kopf, Köpfe",head,Mein Kopf tut weh.,My head hurts.,
835,der,"Kopfball, -bälle",header (soccer),Er macht einen Kopfball.,He is making a header.,
836,der,"Kopfschmerz, en",headache,Ich habe Kopfschmerzen.,I have a headache.,
837,der,"Kopierer, -","copier, photocopy machine",Der Kopierer ist kaputt.,The copier is broken.,
838,der,"Korb, Körbe",basket,Der Korb ist voll mit Äpfeln.,The basket is full of apples.,
839,das,"Korn, Körner",grain,Das Korn wächst auf dem Feld.,The grain is growing in the field.,
840,der,"Körper, -",body,Mein Körper ist müde.,My body is tired.,
841,der,"Körperteil, e",body part,Das Bein ist ein Körperteil.,The leg is a body part.,
842,die,"Kosmetik, -",cosmetics,Sie kauft Kosmetik.,She is buying cosmetics.,
843,das,"Kostüm, e",costume,Er trägt ein lustiges Kostüm.,He is wearing a funny costume.,
844,der,"Kragen, -",collar,Der Kragen ist sauber.,The collar is clean.,
845,der,"Krampf, Krämpfe",cramp,Ich habe einen Krampf im Bein.,I have a cramp in my leg.,
846,das,"Krankenhaus, -häuser",hospital,Er liegt im Krankenhaus.,He is in the hospital.,
847,der,"Krankenpfleger, -",male nurse,Der Krankenpfleger hilft dem Patienten.,The male nurse is helping the patient.,
848,die,"Krankenschwester, n",female nurse,Die Krankenschwester gibt die Medizin.,The female nurse is giving the medicine.,
849,die,"Krankheit, en","illness, disease",Die Krankheit ist ansteckend.,The illness is contagious.,
850,der,"Kranz, Kränze",wreath,Der Kranz hängt an der Tür.,The wreath is hanging on the door.,
851,die,"Krawatte, n",tie,Er trägt eine Krawatte.,He is wearing a tie.,
852,die,"Kreation, en",creation,Das ist eine neue Kreation.,That is a new creation.,
853,der,"Kreis, e",circle,Wir sitzen im Kreis.,We are sitting in a circle.,
854,der,"Kreisverkehr, e",roundabout,Der Kreisverkehr ist groß.,The roundabout is big.,
855,die,"Kreuzung, en",intersection,An der Kreuzung biegen wir ab.,"At the intersection, we turn off.",
856,der,"Krimi, s","detective story, crime novel",Ich lese einen Krimi.,I am reading a crime novel.,
857,die,"Kreuzung, en","intersection, crossroads",An der nächsten Kreuzung biegen Sie links ab.,"At the next intersection, you turn left.",
858,die,"Küche, n",kitchen,Die Küche ist modern.,The kitchen is modern.,
859,der,"Kuchen, -",cake,Der Kuchen ist lecker.,The cake is delicious.,
860,der,"Küchenschrank, -schränke",kitchen cabinet,Der Küchenschrank ist voll.,The kitchen cabinet is full.,
861,der,"Kugelschreiber, -",ballpoint pen,Ich schreibe mit einem Kugelschreiber.,I am writing with a ballpoint pen.,
862,der,"Kühlschrank, e",refrigerator,Der Kühlschrank ist voll.,The refrigerator is full.,
863,der,"Kühlschrank, -schränke",refrigerator,Der Kühlschrank ist voll.,The refrigerator is full.,
864,der,"Kuli, s",ballpoint pen (colloquial),Gib mir deinen Kuli.,Give me your pen.,
865,die,"Kultur, en",culture,Die deutsche Kultur ist interessant.,The German culture is interesting.,
866,der,"Kunde, n",customer (male),Der Kunde wartet.,The customer is waiting.,
867,die,"Kundin, nen",customer (female),Die Kundin bezahlt.,The female customer is paying.,
868,die,"Kunst, Künste",art,Kunst ist schön.,Art is beautiful.,
869,die,"Kunsthalle, n",art gallery,Wir besuchen eine Kunsthalle.,We are visiting an art gallery.,
870,der,"Künstler, -",artist (male),Der Künstler malt ein Bild.,The artist is painting a picture.,
871,die,"Künstlerin, nen",artist (female),Die Künstlerin stellt ihre Werke aus.,The female artist is exhibiting her works.,
872,das,"Kunstmuseum, -museen",art museum,Das Kunstmuseum ist berühmt.,The art museum is famous.,
873,der,"Kur, en","cure, health resort stay",Ich mache eine Kur.,I am doing a health resort stay.,
874,die,"Kür, en","freestyle, optional exercise",Der Sieg war eine Kür.,The victory was a freestyle.,
875,der,"Kürbis, se",pumpkin,Der Kürbis ist orange.,The pumpkin is orange.,
876,der,"Kurfürst, en",prince-elector,Der Kurfürst hatte große Macht.,The prince-elector had great power.,
877,der,"Kurort, e",health resort,Wir fahren in einen Kurort.,We are going to a health resort.,
878,der,"Kurs, e",course,Ich belege einen Sprachkurs.,I am taking a language course.,
879,der,"Kursteilnehmer, -",course participant (male),Der Kursteilnehmer lernt viel.,The course participant is learning a lot.,
880,der,"Kuß, Küsse",kiss,Gib mir einen Kuß.,Give me a kiss.,
881,die,"Küste, n",coast,Wir fahren an die Küste.,We are driving to the coast.,
882,das,"Label, s",label,Das Label ist bekannt.,The label is well-known.,
883,der,"Laden, Läden","shop, store",Der Laden ist klein.,The shop is small.,
884,die,"Ladung, en","charge, cargo",Die Ladung ist schwer.,The cargo is heavy.,
885,die,"Lage, n","location, situation",Die Lage ist ernst.,The situation is serious.,
886,das,"Lager, -","camp, warehouse",Das Lager ist voll.,The warehouse is full.,
887,die,"Lampe, n",lamp,Die Lampe leuchtet hell.,The lamp is shining brightly.,
888,das,"Land, Länder",country,Deutschland ist ein Land.,Germany is a country.,
889,die,"Landkarte, n",map,Die Landkarte ist nützlich.,The map is useful.,
890,die,"Landschaft, en",landscape,Die Landschaft ist wunderschön.,The landscape is beautiful.,
891,der,"Landwirt, e",farmer (male),Der Landwirt erntet Getreide.,The farmer is harvesting grain.,
892,die,"Landwirtin, nen",farmer (female),Die Landwirtin melkt die Kuh.,The female farmer is milking the cow.,
893,die,"Laune, n",mood,Er hat gute Laune.,He is in a good mood.,
894,der,"Laut, e",sound,Ich höre einen lauten Laut.,I hear a loud sound.,
895,die,"Laute, n",lute,Er spielt Laute.,He is playing the lute.,
896,das,"Leben, -",life,Das Leben ist schön.,Life is beautiful.,
897,das,"Lebensmittel, -","groceries, food",Ich kaufe Lebensmittel.,I am buying groceries.,
898,die,"Leere, -",emptiness,Ich spüre die Leere.,I feel the emptiness.,
899,der,"Lehrer, -",teacher (male),Der Lehrer erklärt die Aufgabe.,The teacher is explaining the task.,
900,die,"Lehrerin, nen",teacher (female),Die Lehrerin unterrichtet Mathematik.,The female teacher is teaching mathematics.,
901,der,"Lehrpartner, n",learning partner,Wir arbeiten als Lehrpartner zusammen.,We are working together as learning partners.,
902,das,"Leid, -","sorrow, suffering",Er hat viel Leid erfahren.,He has experienced a lot of suffering.,
903,der,"Leiter, -","ladder, leader (male)",Die Leiter ist hoch.,The ladder is high.,
904,die,"Leiterin, nen",leader (female),Die Leiterin der Gruppe ist sehr kompetent.,The leader of the group is very competent.,
905,die,"Lektion, en",lesson,Die Lektion war schwierig.,The lesson was difficult.,
906,das,"Licht, er",light,Mach das Licht an.,Turn on the light.,
907,die,"Liebe, n",love,Die Liebe ist ein starkes Gefühl.,Love is a strong feeling.,
908,das,"Lied, er",song,Ich singe ein Lied.,I am singing a song.,
909,die,"Limonade, n",lemonade,Ich trinke eine Limonade.,I am drinking a lemonade.,
910,die,"Linie, n",line,Ziehe eine gerade Linie.,Draw a straight line.,
911,die,"Lippe, n",lip,Sie hat rote Lippen.,She has red lips.,
912,der,"Lippenstift, e",lipstick,Sie trägt Lippenstift.,She is wearing lipstick.,
913,der,"Liter, -",liter,Ich kaufe einen Liter Milch.,I am buying one liter of milk.,
914,der,"Löffel, -",spoon,Ich brauche einen Löffel.,I need a spoon.,
915,das,"Loft, s",loft,Sie wohnt in einem Loft.,She is living in a loft.,
916,der,"Lohn, Löhne","wage, salary",Der Lohn ist gut.,The salary is good.,
917,das,"Lokal, e","pub, restaurant",Wir gehen in ein Lokal.,We are going to a pub.,
918,das,"Los, e","lot, fate",Das Los hat entschieden.,Fate has decided.,
919,die,"Lösung, en",solution,Ich habe eine Lösung gefunden.,I have found a solution.,
920,das,"Loto, -",lotto,Ich spiele Loto.,I am playing lotto.,
921,der,"Löwe, n",lion,Der Löwe ist stark.,The lion is strong.,
922,die,"Lücke, n",gap,Es gibt eine Lücke.,There is a gap.,
923,die,"Luft, -",air,Die Luft ist frisch.,The air is fresh.,
924,die,"Luftpumpe, n",air pump,Ich brauche eine Luftpumpe.,I need an air pump.,
925,die,"Lüge, n",lie,Die Lüge war unnötig.,The lie was unnecessary.,
926,die,"Lust, -","desire, pleasure, mood",Ich habe keine Lust.,I don't feel like it.,
927,das,"Mädchen, -",girl,Das Mädchen spielt im Garten.,The girl is playing in the garden.,
928,die,"Mahlzeit, en",meal,Guten Appetit! Mahlzeit!,Enjoy your meal!,
929,der,Mai,May,Im Mai ist es warm.,"In May, it is warm.",
930,der,"Mais, e",corn,Mais ist ein Gemüse.,Corn is a vegetable.,
931,der,"Makler, -",real estate agent,Der Makler zeigt uns das Haus.,The real estate agent is showing us the house.,
932,das,"Mal, e","time (as in once, twice)",Ich war schon viele Male hier.,I've been here many times.,
933,der,"Maler, -",painter (male),Der Maler streicht die Wand.,The painter is painting the wall.,
934,die,"Malerin, nen",painter (female),Die Malerin malt ein Porträt.,The female painter is painting a portrait.,
