,,,,,,,,Präsens,,,,,,Präteritum,,,,,,,,,
495,reg,stärken,to strengthen/to fortify,Das Essen stärkt mich.,The food strengthens me.,,,stärke,stärkst,stärkt,stärken,stärkt,stärken,stärkte,stärktest,stärkte,stärkten,stärktet,stärkten,gestärkt,,,
496,reg,starten,to start,Das Auto startet nicht.,The car won't start.,,,starte,startest,startet,starten,startet,starten,startete,startetest,startete,starteten,startetet,starteten,gestartet,,,
497,unr,stehen,to stand,Sie steht an der Tür.,She is standing at the door.,,,stehe,stehest,stehet,stehen,stehet,stehen,stand,standest,stand,standen,standet,standen,gestanden ,,,
498,reg,stellen ,to put/to place,Er stellt die Vase auf den Tisch.,He puts the vase on the table.,,,stelle,stellst,stellt,stellen,stellt,stellen,stellte,stelltest,stellte,stellten,stelltet,stellten,gestellt,,,
499,reg,stimmen,to be right/to vote,Das stimmt.,That's right.,,,stimme,stimmst,stimmt,stimmen,stimmt,stimmen,stimmte,stimmtest,stimmte,stimmten,stimmtet,stimmten,gestimmt,,,
500,reg,stoppen,to stop,Wir müssen das Auto stoppen.,We have to stop the car.,,,stoppe,stoppst,stoppt,stoppen,stoppt,stoppen,stoppte,stopptest,stoppte,stoppten,stopptet,stoppten,gestoppt,,,
501,reg,stranden ,to be stranded/to be beached,Das Schiff ist gestrandet.,The ship is stranded.,,,strande,strandest,strandet,stranden,strandet,stranden,strandete,strandetest,strandete,strandeten,strandetet,strandeten,gestrandet,,,
502,unr,streiten,to argue/to quarrel,Sie streiten oft.,They argue often.,sich,mit (D) über (A),streite,streitest,streitet,streiten,streitet,streiten,stritt,strittest,stritt,stritten,strittet,stritten,gestritten,x,,
503,reg,stressen,to stress someone,Die Arbeit stresst mich.,The work is stressing me out.,,,stresse,stressst,stresst,stressen,stresst,stressen,stresste,stresstest,stresste,stressten,stresstet,stressten,gestresst,,,
504,unr,studieren ,to study,Er studiert Medizin.,He is studying medicine.,,,studiere,studierst,studiert,studieren,studiert,studieren,studierte,studiertest,studierte,studierten,studiertet,studierten,studiert,,,
505,reg,stürzen ,to fall/to plunge,Er stürzt in die Tiefe.,He plunges into the depths.,,,stürze,stürzt,stürzt,stürzen,stürzt,stürzen,stürzte,stürztest,stürzte,stürzten,stürztet,stürzten,gestürzt,,,
506,reg,suchen,to search for,Ich suche meinen Schlüssel.,I am searching for my key.,,,suche,suchst,sucht,suchen,sucht,suchen,suchte,suchtest,suchte,suchten,suchtet,suchten,gesucht,,,
507,reg,surfen,to surf,Wir surfen im Internet.,We are surfing the internet.,,,surfe,surfst,surft,surfen,surft,surfen,surfte,surftest,surfte,surften,surftet,surften,gesurft,,,
508,reg,tanken,to refuel/to fill up,Ich muss tanken.,I have to refuel.,,,tanke,tankst,tankt,tanken,tankt,tanken,tankte,tanktest,tankte,tankten,tanktet,tankten,getankt,,,
509,reg,tanzen,to dance,Wir tanzen die ganze Nacht.,We are dancing all night.,,,tanze,tanzst,tanzt,tanzen,tanzt,tanzen,tanzte,tanztest,tanzte,tanzten,tanztet,tanzten,getanzt,,,
510,reg,tasten ,to feel/to touch,Er tastet im Dunkeln.,He is feeling around in the dark.,,,taste,tastest,tastet,tasten,tastet,tasten,tastete,tastetest,tastete,tasteten,tastetet,tasteten,getastet,,,
511,reg,tauchen,to dive,Sie taucht im Meer.,She is diving in the sea.,,,tauche,tauchst,taucht,tauchen,taucht,tauchen,tauchte,tauchtest,tauchte,tauchten,tauchtet,tauchten,getaucht,x,,
512,reg,tauchen ,to dive,Sie taucht im Meer.,She is diving in the sea.,,,tauche,tauchst,taucht,tauchen,taucht,tauchen,tauchte,tauchtest,tauchte,tauchten,tauchtet,tauchten,getaucht,,,
513,reg,tauschen ,to exchange,Ich tausche mein Buch gegen deins.,I am exchanging my book for yours.,,,tausche,tauschst,tauscht,tauschen,tauscht,tauschen,tauschte,tauschtest,tauschte,tauschten,tauschtet,tauschten,getauscht,,,
514,unr,teil.  nehmen,to participate,Ich nehme an dem Spiel teil.,I am participating in the game.,,an (D),nehme.  teil,nimmst . teil,nimmt.  teil,nehmen.  teil,nehmt.  teil,nehmen.  teil,nahm.  teil,nahmst.  teil,nahm.  teil,nahmen.  teil,nahmt.  teil,nahmen.  teil,teilgenommen,x,,
515,reg,telefonieren ,to make a phone call,Ich telefoniere mit meiner Freundin.,I am making a phone call with my friend.,,,telefoniere,telefonierst,telefoniert,telefonieren,telefoniert,telefonieren,telefonierte,telefoniertest,telefonierte,telefonierten,telefoniertet,telefonierten,telefoniert,,,
516,reg,testen,to test,Wir testen das neue Produkt.,We are testing the new product.,,,teste,testest,testet,testen,testet,testen,testete,testetest,testete,testeten,testetet,testeten,getestet,,,
517,reg,trainieren ,to train/to practice,Er trainiert für den Marathon.,He is training for the marathon.,,,trainiere,trainierst,trainiert,trainieren,trainiert,trainieren,trainierte,trainiertest,trainierte,trainierten,trainiertet,trainierten,trainiert,,,
518,reg,transponieren ,to transpose,Der Musiker transponiert das Lied.,The musician is transposing the song.,,,transponiere,transponierst,transponiert,transponieren,transponiert,transponieren,transponierte,transponiertest,transponierte,transponierten,transponiertet,transponierten,transponiert,,,
519,reg,transportieren ,to transport,Wir transportieren die Möbel.,We are transporting the furniture.,,,transpotiere,transportierst,transportiert,transportieren,transportiert,transportieren,transportierte,transportiertest,transportierte,transportierten,transportiertet,transportierten,transportiert,,,
520,reg,träumen,to dream,Ich träume von einer Reise.,I am dreaming of a trip.,,,träume,träumst,träumt,träumen,träumt,träumen,träumte,träumtest,träumte,träumten,träumtet,träumten,geträumt,x,,
521,unr,treffen ,to meet,Wir treffen uns morgen.,We are meeting tomorrow.,sich,mit (D),treffe,triffst,trifft,treffen ,trefft,treffen ,traff,traffst,traff,traffen,trafft,traffen,getroffen ,,,
522,reg,trennen ,to separate,Wir trennen den Müll.,We are separating the garbage.,,,trenne,trennst,trennt,trennen,trennt,trennen,trennte,trenntest,trennte,trennten,trenntet,trennten,getrennt,,,
523,unr,trinken,to drink,Ich trinke Wasser.,I am drinking water.,,,trinke,trinkst,trinkt,trinken,trinkt,trinken ,trank,trankst,trank,tranken,trankt,tranken,getrunken ,,,
524,reg,tropfen ,to drip,Der Wasserhahn tropft.,The faucet is dripping.,,,tropfe,tropfst,tropft,tropfen,tropft,tropfen,tropfte,tropftest,tropfte,tropften,tropftet,tropften,getropft,,,
525,unr,tun,to do,Was tust du?,What are you doing?,,,tue,tust,tut,tun,tut,tun,tat,tatest,tat,taten,tatet,taten,getan,,,
526,reg,üben,to practice,Sie übt Klavier.,She is practicing piano.,,,übe,übst,übt,üben,übt,üben,übte,übtest,übte,übten,übtet,übten,geübt,,,
527,reg,überlegen,to consider/to think over,Ich muss mir das überlegen.,I have to think about that.,sich,,überlege,überlegst,überlegt,überlegen,überlegt,überlegen,überlegte,überlegtest,überlegte,überlegten,überlegtet,überlegten,überlegt,x,,
528,reg,übernachten ,to stay the night,Wir übernachten im Hotel.,We are staying the night at a hotel.,,,übernachte,übernachtest,übernachtet,übernachten,übernachtet,übernachten,übernachtete,übernachtetest,übernachtete,übernachteten,übernachtetet,übernachteten,übernachtet,,,
529,reg,überraschen,to surprise,Ich will dich überraschen.,I want to surprise you.,,,überrasche,überraschst,überrascht,überraschen,überrascht,überraschen,überraschte,überraschtest,überraschte,überraschten,überraschtet,überraschten,überrascht,,,
530,reg,um.  tauschen,to exchange/to swap,Ich tausche die Hose um.,I am exchanging the pants.,,,tausche. um,tauschst. um,tauscht. um,tauschen. um,tauscht. um,tauschen. um,tauschte. um,tauschtest. um,tauschte. um,tauschten. um,tauschtet. um,tauschten. um,umgetauscht,,,
531,unr,unter.  halten,to talk/to entertain,Wir unterhalten uns gut.,We are having a good conversation.,sich,mit (D) über (A),halte.  unter,hältst.  unter,hält.  unter,halten.  unter,haltet.  unter,halten.  unter,hielt.  unter,hieltst.  unter,hielt.  unter,hielten.  unter,hieltet.  unter,hielten.  unter,untergehalten,x,,
532,unr,unternehmen,to undertake/to do,Wir unternehmen eine Reise.,We are taking a trip.,,,unternehme,unternimmst,unternimmt,unternehmen,unternehmt,unternehmen,unternahm,unternahmst,unternahm,unternahmen,unternahmt,unternahmen,unternommen,,,
533,reg,unterrichten,to teach,Sie unterrichtet Deutsch.,She is teaching German.,,,unterrichte,unterrichtest,unterrichtet,unterrichten,unterrichtet,unterrichten,unterrichtete,unterrichtetest,unterrichtete,unterrichteten,unterrichtetet,unterrichteten,unterrichtet,x,,
534,unr,unterscheiden,to distinguish/to differentiate,Ich kann die beiden nicht unterscheiden.,I can't distinguish between the two.,(sich),,unterscheide,unterscheidest,unterscheidet,unterscheiden,unterscheidet,unterscheiden,unterschied,unterschied(e)st ,unterschied,unterschieden,unterschiedet,unterschieden,unterschieden,x,,
535,unr,unterstreichen,to underline,Er unterstreicht die wichtigen Wörter.,He is underlining the important words.,,,unterstreiche,unterstreichst,unterstreicht,unterstreichen,unterstreicht,unterstreichen,unterstrich,unterstrichst,unterstrich,unterstrichen,unterstricht,unterstrichen,unterstrichen ,,,
536,reg,urlauben,to go on vacation,Wir urlauben in Italien.,We are vacationing in Italy.,,,urlaube,urlaubst,urlaubt,urlauben,urlaubt,urlauben,urlaubte,urlaubtest,urlaubte,urlaubten,urlaubtet,urlaubten,geurlaubt,,,
537,reg,variieren ,to vary,Die Preise variieren.,The prices vary.,,,variiere,variierst,variiert,variieren,variiert,variieren,variierte,variiertest,variierte,variierten,variiertet,variierten,variiert,,,
538,reg,verabreden ,to make an appointment,Wir verabreden uns zum Essen.,We are making an appointment to eat.,sich,mit (D),verabrede,verabredest,verabredet,verabreden,verabredet,verabreden,verabredete,verabredetest,verabredete,verabredeten,verabredetet,verabredeten,verabredet,,,
539,reg,verabschieden ,to say goodbye,Wir verabschieden uns von den Gästen.,We are saying goodbye to the guests.,sich,von (D),verabschiede,verabschiedest,verabschiedet,verabschieden,verabschiedet,verabschieden,verabschiedete,verabschiedetest,verabschiedete,verabschiedeten,verabschiedetet,verabschiedeten,verabschiedet,,,
540,unr,verbringen,to spend (time),Wir verbringen den Sommer am Meer.,We are spending the summer at the sea.,,,verbringe,verbringst,verbringt,verbringen,verbringt,verbringen,verbrachte,verbrachtest,verbrachte,verbrachten,verbrachtet,verbrachten,verbracht,,,
541,reg,verdienen,to earn,Er verdient viel Geld.,He earns a lot of money.,,,verdiene,verdienst,verdient,verdienen,verdient,verdienen,verdiente,verdientest,verdiente,verdienten,verdientet,verdienten,verdient,,,
542,unr,vergleichen,to compare,Wir vergleichen die Preise.,We are comparing the prices.,,,vergleiche,vergleichst,vergleicht,vergleichen,vergleicht,vergleichen,verglich,verglichst,verglich,verglichen,verglicht,verglichen,verglichen,x,,
543,unr,verhalten,to behave/to act,Er verhält sich ruhig.,He is behaving calmly.,sich,,verhalte,verhältst,verhält,verhalten,verhaltet,verhalten,verhielt,verhieltest,verhielt,verhielten,verhieltet,verhielten,verhalten,,,
544,reg,verheiraten,to marry off,Er verheiratet seine Tochter.,He is marrying off his daughter.,,,verheirate,verheiratest,verheiratet,verheiraten,verheiratet,verheiraten,verheiratete,verheiratetest,verheiratete,verheirateten,verheiratetet,verheirateten,verheiratet,,,
545,reg,verienen,to soil (archaic),Er verient die Kleidung.,He soils the clothes.,,,vereine,vereinst,vereint,vereinen,vereint,vereinen,vereinte,vereintest,vereinte,vereinten,vereintet,vereinten,vereint,,,
546,reg,verkaufen,to sell,Er verkauft sein Haus.,He is selling his house.,,,verkaufe,verkaufst,verkauft,verkaufen,verkauft,verkaufen,verkaufte,verkauftest,verkaufte,verkauften,verkauftet,verkauften,verkauft,,,
547,reg,verkleiden,to disguise/to dress up,Sie verkleidet sich als Hexe.,She is dressing up as a witch.,,,verkleide,verkleidest,verkleidet,verkleiden,verkleidet,verkleiden,verkleidete,verkleidetest,verkleidete,verkleideten,verkleidetet,verkleideten,verkleidet,,,
548,unr,verlassen,to leave,Er verlässt das Haus.,He is leaving the house.,sich,auf (A),verlasse,verlässt,verlässt,verlassen,verlasst,verlassen,verließ,verließt,verließ,verließen,verließt,verließen,verlassen,x,,
549,reg,verletzen ,to injure/to hurt,Er hat sich verletzt.,He has injured himself.,,,verletze,verletzt,verletzt,verletzen,verletzt,verletzen,verletzte,verletztest,verletzte,verletzten,verletztet,verletzten,verletzt,,,
550,unr,verlieren,to lose,Ich verliere meine Geduld.,I am losing my patience.,,,verliere,verlierst,verliert,verlieren,verliert,verlieren,verlor,verlorst,verlor,verloren,verlort,verloren,verloren,,,
551,reg,vermieten ,to rent out,Er vermietet eine Wohnung.,He is renting out an apartment.,,,vermiete,vermiest,vermietet,vermieten,vermietet,vermieten,vermietete,vermietest,vermietete,vermieteten,vermietetet,vermieteten,vermietet,,,
552,reg,verpassen,"to miss (a bus, etc.)",Ich habe den Bus verpasst.,I missed the bus.,,,verpasse,verpasst,verpasst,verpassen,verpasst,verpassen,verpasste,verpasstest,verpasste,verpassten,verpasstet,verpassten,verpasst,,,
553,unr,verraten,to betray/to reveal,Er hat das Geheimnis verraten.,He revealed the secret.,,,verrate,verräst,verrät,verraten,verratet,verraten,verriet,verrietest,verriet,verrieten,verrietet,verrieten,verraten ,,,
554,reg,verschicken,to send out,Wir verschicken die Einladungen.,We are sending out the invitations.,,,verschicke,verschickst,verschickt,verschicken,verschickt,verschicken,verschickte,verschicktest,verschickte,verschickten,verschicktet,verschickten,verschickt,,,
555,unr,verschieben ,to postpone/to shift,Wir müssen das Treffen verschieben.,We have to postpone the meeting.,,,verschiebe,verschiebst,verschiebt,verschieben ,verschiebt,verschieben ,verschob,verschobst,verschob,verschoben,verschobt,verschoben,verschoben ,,,
556,reg,verschwenden ,to waste,Verschwende kein Wasser.,Don't waste water.,,,verschwende,verschwendest,verschwendet,verschwenden,verschwendet,verschwenden,verschwendete,verschwendetest,verschwendete,verschwendeten,verschwendetet,verschwendeten,verschwendet,,,
557,unr,verstecken ,to hide,Er versteckt das Geschenk.,He is hiding the gift.,sich,,verstecke,versteckst,versteckt,verstecken,versteckt,verstecken,versteckte,verstecktest,versteckte,versteckten,verstecktet,versteckten,versteckt,,,
558,reg,verstehe,to understand,Ich verstehe dich.,I understand you.,,,verstehe,verstehst,versteht,verstehen,versteht,verstehen,verstand,verstandest,verstand,verstanden,verstandet,verstanden,verstanden,,,
559,unr,verstehen,to understand,Ich verstehe die Frage nicht.,I don't understand the question.,,,verstehe,verstehst,versteht,verstehen ,versteht,verstehen ,verstand,verstandest,verstand,verstanden,verstandet,verstanden,verstanden ,,,
560,reg,versuchen,to try,"Ich versuche, das zu reparieren.",I am trying to repair that.,,,versuche,versuchst,versucht,versuchen,versucht,versuchen,versuchte,versuchtest,versuchte,versuchten,versuchtet,versuchten,versucht,,probieren,
561,reg,verteilen ,to distribute,Sie verteilt die Flyer.,She is distributing the flyers.,,,verteile,verteilst,verteilt,verteilen,verteilt,verteilen,verteilte,verteiltest,verteilte,verteilten,verteiltet,verteilten,verteilt,,,
562,reg,vertrauten,to confide in (archaic),Sie vertrauten ihm ihre Geheimnisse an.,They confided their secrets to him.,,,vertraue,vertraust,vertraut,vertrauen,vertraut,vertrauen,vertraute,vertrautest,vertraute,vertrauten,vertrautet,vertrauten,vertraut,x,,
563,reg,verunfallen,to have an accident,Er ist verunfallt.,He has had an accident.,,,verunfalle,verunfallst,verunfallt,verunfallen,verunfallt,verunfallen,verunfallte,verunfalltest,verunfallte,verunfallten,verunfalltet,verunfallten,verunfallt,,,
564,unr,verwenden ,to use/to apply,Er verwendet ein neues Programm.,He is using a new program.,,,verwende,verwendest,verwendet,verwenden,verwendet,verwenden,verwendete,verwendetest,verwendete,verwendeten,verwendetet,verwendeten,verwendet,,,
565,reg,verzichten ,to abstain from/to renounce,Ich verzichte auf Schokolade.,I am abstaining from chocolate.,,,verzichte,verzichtest,verzichtet,verzichten,verzichtet,verzichten,verzichtete,verzichtetest,verzichtete,verzichteten,verzichtetet,verzichteten,verzichtet,,,
566,reg,vor.  bereiten,to prepare,Ich bereite das Abendessen vor.,I am preparing dinner.,sich,"auf, für (A)",bereite. vor,bereitest. vor,bereitet. vor,bereiten. vor,bereitet. vor,bereiten. vor,bereitete. vor,bereitetest. vor,bereitete. vor,bereiteten. vor,bereitetet. vor,bereiteten. vor,vorbereitet,,,
567,reg,vor.  stellen ,to introduce/to imagine,Ich stelle dir meinen Freund vor.,I am introducing you to my friend.,,,stelle. vor,stellst. vor,stellt. vor,stellen. vor,stellt. vor,stellen. vor,stellte. vor,stelltest. vor,stellte. vor,stellten. vor,stelltet. vor,stellten. vor,vorgestellt,,,
568,unr,vorbei.  gehen,to pass by,Ich gehe am Laden vorbei.,I am walking past the store.,,,gehe.  vorbei,gehst.  vorbei,geht.  vorbei,gehen.  vorbei,geht.  vorbei,gehen.  vorbei,ging.  vorbei,gingst.  vorbei,ging.  vorbei,gingen.  vorbei,gingt.  vorbei,gingen.  vorbei,vorbeigegangen ,,,
569,reg,wagen,to dare,Er wagt einen Sprung.,He dares to jump.,,,wage,wagst,wagt,wagen,wagt,wagen,wagte,wagtest,wagte,wagten,wagtet,wagten,gewagt,,,
570,reg,wählen,to choose/to vote,Wir wählen einen neuen Präsidenten.,We are voting for a new president.,,,wähle,wählst,wählt,wählen,wählt,wählen,wählte,wähltest,wählte,wählten,wähltet,wählten,gewählt,,,
571,unr,wahr.  nehmen,to perceive/to notice,Ich nehme die Gefahr wahr.,I perceive the danger.,,,nehme.  wahr,nimmst.  wahr,nimmt.  wahr,nehmen.  wahr,nehmt.  wahr,nehmen.  wahr,nahm.  wahr,nahmst.  wahr,nahm.  wahr,nahmen.  wahr,nahmt.  wahr,nahmen.  wahr,wahrgenommen,,,
572,reg,wandern,to hike/to wander,Wir wandern in den Bergen.,We are hiking in the mountains.,,,wandere,wanderst,wandert,wandern,wandert,wandern,wanderte,wandertest,wanderte,wanderten,wandertet,wanderten,gewandert,,,
573,reg,wärmen,to warm,Die Sonne wärmt die Erde.,The sun is warming the earth.,,,wärme,wärmst,wärmt,wärmen,wärmt,wärmen,wärmte,wärmtest,wärmte,wärmten,wärmtet,wärmten,gewärmt,,,
574,reg,warten,to wait,Ich warte auf den Bus.,I am waiting for the bus.,,,warte,wartest,wartet,warten,wartet,warten,wartete,wartetest,wartete,warteten,wartetet,warteten,gewartet,,,
575,reg,warten,to wait,Ich warte auf den Bus.,I am waiting for the bus.,,auf (A),warte,wartest,wartet,warten,wartet,warten,wartete,wartetest,wartete,warteten,wartetet,warteten,gewartet,x,,
576,reg,wechseln ,to change/to switch,Wir wechseln das Thema.,We are changing the subject.,,,wechsle,wechselst,wechselt,wechseln,wechselt,wechseln,wechselte,wechseltest,wechselte,wechselten,wechseltet,wechselten,gewechselt,,,
577,reg,wecken ,to wake up,Er weckt seine Kinder.,He wakes up his children.,,,wecke,weckst,weckt,wecken,weckt,wecken,weckte,wecktest,weckte,weckten,wecktet,weckten,geweckt,,,
578,unr,weg.  laufen,to run away,Der Hund läuft weg.,The dog is running away.,,,laufe.  weg,läufst.  weg,läuft.  weg,laufen. weg,lauft.  weg,laufen.  weg,lief.  weg ,liefst.  weg,lief.  weg ,liefen.  weg,lieft.  weg ,liefen.  weg,weggelaufen,x,,
579,unr,weh.  tun,to hurt,Mein Kopf tut weh.,My head hurts.,,,tue.  weh,tust.  weh,tut.  weh,tun.  weh,tut.  weh,tun.  weh,tat.  weh,tatest.  weh,tat.  weh,taten.  weh,tatet.  weh,taten.  weh,wehgetan ,,,
580,reg,wehen,to blow (wind),Der Wind weht stark.,The wind is blowing strongly.,,,wehe,wehst,weht,wehen,weht,wehen,wehte,wehtest,wehte,wehten,wehtet,wehten,geweht,x,,
581,reg,weiden,to graze,Die Kühe weiden auf der Wiese.,The cows are grazing in the meadow.,,,weide,weidest,weidet,weiden,weidet,weiden,weidete,weidetest,weidete,weideten,weidetet,weideten,geweidet,,,
582,reg,weißen,to whitewash,Er weißt die Wand.,He is whitewashing the wall.,,,weiße,weißest,weißet,weißen,weißet,weißen,weißete,weißetest,weißete,weißeten,weißetet,weißeten,geweißet,,,
583,unr,weiter.  helfen,to help further/to assist,Kannst du mir weiterhelfen?,Can you assist me further?,,,helfe.  weiter ,hilfst.  weiter ,hilft.  weiter ,helfen.  weiter ,helft . weiter ,helfen.  weiter ,half.  weiter ,halfst.  weiter,half . weiter ,halfen.  weiter ,halft.  weiter ,halfen.  weiter ,weitergeholfen,,,
584,reg,weiter.  reden,to continue talking,Er redet einfach weiter.,He just continues talking.,,,rede. weiter,redest. weiter,redet. weiter,reden. weiter,redet. weiter,reden. weiter,redete. weiter,redetest. weiter,redete. weiter,redeten. weiter,redetet. weiter,redeten. weiter,weitergesagt,,,
585,reg,weiter.  schicken,to forward (a message),Schickst du mir die E-Mail weiter?,Are you forwarding the email to me?,,,schicke. weiter,schickst. weiter,schickt. weiter,schicken. weiter,schickt. weiter,schicken. weiter,schickte. weiter,schicktest. weiter,schickte. weiter,schickten. weiter,schicktet. weiter,schickten. weiter,weitergeschickt,,,
586,reg,weiter.  suchen ,to continue searching,Wir müssen weitersuchen.,We have to continue searching.,,,suche. weiter,suchst. weiter,sucht. weiter,suchen. weiter,sucht. weiter,suchen. weiter,suchte. weiter,suchtest. weiter,suchte. weiter,suchten. weiter,suchtet. weiter,suchten. weiter,weitergesucht,,,
587,unr,werden,to become/to get,Es wird kalt.,It is getting cold.,,,werde,wirst,wird,werden ,werdet,werden,wurde,wurdest,wurde,wurden,wurdet,wurden,geworden ,,,
588,reg,werten,to value/to evaluate,Er wertet die Ergebnisse aus.,He is evaluating the results.,,,werte,wertest,wertet,werten,wertet,werten,wertete,wertetest,wertete,werteten,wertetet,werteten,gewertet,,,
589,reg,wichsen,to polish (colloquial),Er wichst die Schuhe.,He is polishing the shoes.,,,wichse,wichst,wichst,wichsen,wichst,wichsen,wichste,wichstest,wichste,wichsten,wichstet,wichsten,gewichst,,,
590,reg,wieder.  holen,to repeat/to fetch again,Er holt den Ball wieder.,He is fetching the ball again.,,,hole. wieder,holst. wieder,holt. wieder,holen. wieder,holt. wieder,holen. wieder,holte. wieder,holtest. wieder,holte. wieder,holten. wieder,holtet. wieder,holten. wieder,wiederholt,,,
591,unr,wieder.  sehen ,to see again,Wir sehen uns bald wieder.,We will see each other again soon.,,,sehe.  wieder,siehst.  wieder,sieht.  wieder,sehen.  wieder,seht.  wieder,sehen.  wieder,sah.  wieder,sahst.  wieder,sah.  wieder,sahen.  wieder,saht.  wieder,sahen.  wieder,wiedergesehen ,,,
592,reg,wiederholen,to repeat,Kannst du das bitte wiederholen?,Can you please repeat that?,,,wiederhole,wiederholst,wiederholt,wiederholen,wiederholt,wiederholen,wiederholte,wiederholtest,wiederholte,wiederholen,wiederholtet,wiederholen,wiederholt,"wieder = again, can stay alone or kommt auf das Verb an",,
593,reg,wiehern,to neigh,Das Pferd wiehert.,The horse is neighing.,,,wiehere,wieherst,wiehert,wiehern,wiehert,wiehern,wieherte,wiehertest,wieherte,wieherten,wiehertet,wieherten,gewiehert,,,
594,reg,willkommen,to welcome,Wir heißen dich willkommen.,We welcome you.,,,heiße. willkommen,heißt. willkommen,heißt. willkommen,heißen. willkommen,heißt. willkommen,heißen. willkommen,hieß. willkommen,hießest. willkommen,hieß. willkommen,hießen. willkommen,hießet. willkommen,hießen. willkommen,willkommen geheißen,,,
595,reg,wirtschaften ,to manage an economy/to be economical,Er wirtschaftet gut.,He manages his money well.,,,wirtschafte,wirtschaftest,wirtschaftet,wirtschaften,wirtschaftet,wirtschaften,wirtschaftete,wirtschaftetest,wirtschaftete,wirtschafteten,wirtschaftetet,wirtschafteten,gewirtschaftet,,,
596,unr,wissen,to know (a fact),Ich weiß die Antwort.,I know the answer.,,,weiß ,Weißt,weiß,wissen,wisst ,wissen ,wusste,wusstest,wusste,wussten,wusstet,wussten,gewusst,,,
597,reg,wohnen,to live/to reside,Wir wohnen in Berlin.,We live in Berlin.,,,wohne,wohnst,wohnt,wohnen,wohnt,wohnen,wohnte,wohntest,wohnte,wohnten,wohntet,wohnten,gewohnt,,,
598,unr,wollen,to want to,Ich will ein Eis.,I want an ice cream.,,,will,willst,will,wollen,wollt,wollen,wollte,wolltest,wollte,wollten,wolltet,wollten,gewollt ,,,
599,reg,wühlen ,to rummage/to dig,Er wühlt in der Erde.,He is digging in the earth.,,,wühle,wühlst,wühlt,wühlen,wühlt,wühlen,wühlte,wühltest,wühlte,wühlten,wühltet,wühlten,gewühlt,,,
600,reg,wundern,to be surprised/to wonder,"Es wundert mich, dass er da ist.",I am surprised that he is there.,sich,über (A),wundere,wunderst,wundert,wundern,wundert,wundern,wunderte,wundertest,wunderte,wunderten,wundertet,wunderten,gewundert,x,,
601,reg,wünschen ,to wish,Ich wünsche dir alles Gute.,I wish you all the best.,,,wünsche,wünschst,wünscht,wünschen,wünscht,wünschen,wünschte,wünschtest,wünschte,wünschten,wünschtet,wünschten,gewünscht,,,
602,reg,würdigen ,to appreciate/to honor,Wir würdigen seine Arbeit.,We appreciate his work.,,,würdige,würdigst,würdigt,würdigen,würdigt,würdigen,würdigte,würdigtest,würdigte,würdigten,würdigtest,würdigten,gewürdigt,,,
603,reg,würfeln,to dice/to roll a dice,Er würfelt eine Sechs.,He rolls a six.,,,würfle,würfelst,würfelt,würfeln,würfelt,würfeln,würfelte,würfeltest,würfelte,würfelten,würfeltet,würfelten,gewürfelt,,,
604,reg,zahlen,to pay,Ich zahle mit Karte.,I am paying with a card.,,,zahle,zahlst,zahlt,zahlen,zahlt,zahlen,zahlte,zahltest,zahlte,zahlten,zahltet,zahlten,gezahlt,,,
605,reg,zeichnen ,to draw,Sie zeichnet ein Porträt.,She is drawing a portrait.,,,zeichne,zeichnest,zeichnet,zeichnen,zeichnet,zeichnen,zeichnete,zeichnetest,zeichnete,zeichneten,zeichnetet,zeichneten,gezeichnet,,,
606,reg,zeigen,to show,Kannst du mir den Weg zeigen?,Can you show me the way?,,,zeige,zeigst,zeigt,zeigen,zeigt,zeigen,zeigte,zeigtest,zeigte,zeigten,zeigtet,zeigten,gezeigt,x,,
607,reg,zeigen ,to show,Kannst du mir den Weg zeigen?,Can you show me the way?,,,zeige,zeigst,zeigt,zeigen,zeigt,zeigen,zeigte,zeigtest,zeigte,zeigten,zeigtet,zeigten,gezeigt,,,
608,reg,zelten,to camp,Wir zelten am See.,We are camping at the lake.,,,zelte,zeltest,zeltet,zelten,zeltet,zelten,zeltete,zeltetest,zeltete,zelteten,zeltetet,zelteten,gezeltet,,,
609,reg,zerlegen,to dismantle/to disassemble,Er zerlegt den Motor.,He is dismantling the engine.,,,zerlege,zerlegst,zerlegt,zerlegen,zerlegt,zerlegen,zerlegte,zerlegtest,zerlegte,zerlegten,zerlegtet,zerlegten,zerlegt,,,
610,reg,ziemen,to adorn/to decorate,Die Blumen zieren den Tisch.,The flowers adorn the table.,,,zieme,ziemst,ziemt,ziemen,ziemt,ziemen,ziemte,ziemtest,ziemte,ziemten,ziemtet,ziemten,geziemt,,,
611,unr,zu.  sagen,to promise/to accept an invitation,"Er hat zugesagt, zu kommen.",He promised to come.,,,sage. zu,sagst. zu,sagt. zu,sagen. zu,sagt. zu,sagen. zu,sagte. zu,sagtest. zu,sagte. zu,sagten. zu,sagtet. zu,sagten. zu,zugesagt,,,
612,reg,zu.  sehen ,to watch/to look on,Ich sehe ihm beim Fußballspielen zu.,I am watching him play soccer.,,,sehe. zu,siehst. zu,sieht. zu,sehen. zu,seht. zu,sehen. zu,sah. zu,sahst. zu,sah. zu,sahen. zu,saht. zu,sahen. zu,zugesehen,,,
