,,,Präsens,,,,,,Präteritum,,,,,,,,,,,,,,,
494,reg,spülen,spüle,spülst,spült,spülen,spült,spülen,spülte,spültest,spülte,spülten,spültet,spülten,gespült,,,"rinse, flush, wash",to wash/to rinse,Ich spüle das Geschirr.,I am washing the dishes.,,,
495,reg,stärken,stärke,stärkst,stärkt,stärken,stärkt,stärken,stärkte,stärktest,stärkte,stärkten,stärktet,stärkten,gestärkt,,,"strengthen, empower, reinforce",to strengthen/to fortify,Das Essen stärkt mich.,The food strengthens me.,,,
496,reg,starten,starte,startest,startet,starten,startet,starten,startete,startetest,startete,starteten,startetet,starteten,gestartet,,,"start, activate",to start,Das Auto startet nicht.,The car won't start.,,,
497,unr,stehen,stehe,stehest,stehet,stehen,stehet,stehen,stand,standest,stand,standen,standet,standen,gestanden ,,,stand,to stand,Sie steht an der Tür.,She is standing at the door.,,,
498,reg,stellen ,stelle,stellst,stellt,stellen,stellt,stellen,stellte,stelltest,stellte,stellten,stelltet,stellten,gestellt,,,"put, place, stand",to put/to place,Er stellt die Vase auf den Tisch.,He puts the vase on the table.,,,
499,reg,stimmen,stimme,stimmst,stimmt,stimmen,stimmt,stimmen,stimmte,stimmtest,stimmte,stimmten,stimmtet,stimmten,gestimmt,,,"vote, correct, agree, render",to be right/to vote,Das stimmt.,That's right.,,,
500,reg,stoppen,stoppe,stoppst,stoppt,stoppen,stoppt,stoppen,stoppte,stopptest,stoppte,stoppten,stopptet,stoppten,gestoppt,,,"stop, block, cut off",to stop,Wir müssen das Auto stoppen.,We have to stop the car.,,,
501,reg,stranden ,strande,strandest,strandet,stranden,strandet,stranden,strandete,strandetest,strandete,strandeten,strandetet,strandeten,gestrandet,,,"run aground, strand, founder",to be stranded/to be beached,Das Schiff ist gestrandet.,The ship is stranded.,,,
502,unr,streiten,streite,streitest,streitet,streiten,streitet,streiten,stritt,strittest,stritt,stritten,strittet,stritten,gestritten,sich,mit (D) über (A),streiten,to argue/to quarrel,Sie streiten oft.,They argue often.,x,,
503,reg,stressen,stresse,stressst,stresst,stressen,stresst,stressen,stresste,stresstest,stresste,stressten,stresstet,stressten,gestresst,,,stress out,to stress someone,Die Arbeit stresst mich.,The work is stressing me out.,,,
504,unr,studieren ,studiere,studierst,studiert,studieren,studiert,studieren,studierte,studiertest,studierte,studierten,studiertet,studierten,studiert,,,study,to study,Er studiert Medizin.,He is studying medicine.,,,
505,reg,stürzen ,stürze,stürzt,stürzt,stürzen,stürzt,stürzen,stürzte,stürztest,stürzte,stürzten,stürztet,stürzten,gestürzt,,,"fall, plummet, collapse",to fall/to plunge,Er stürzt in die Tiefe.,He plunges into the depths.,,,
506,reg,suchen,suche,suchst,sucht,suchen,sucht,suchen,suchte,suchtest,suchte,suchten,suchtet,suchten,gesucht,,,suchen,to search for,Ich suche meinen Schlüssel.,I am searching for my key.,,,
507,reg,surfen,surfe,surfst,surft,surfen,surft,surfen,surfte,surftest,surfte,surften,surftet,surften,gesurft,,,"surf, windsurf",to surf,Wir surfen im Internet.,We are surfing the internet.,,,
508,reg,tanken,tanke,tankst,tankt,tanken,tankt,tanken,tankte,tanktest,tankte,tankten,tanktet,tankten,getankt,,,"fill up, fuel",to refuel/to fill up,Ich muss tanken.,I have to refuel.,,,
509,reg,tanzen,tanze,tanzst,tanzt,tanzen,tanzt,tanzen,tanzte,tanztest,tanzte,tanzten,tanztet,tanzten,getanzt,,,"dance, rave",to dance,Wir tanzen die ganze Nacht.,We are dancing all night.,,,
510,reg,tasten ,taste,tastest,tastet,tasten,tastet,tasten,tastete,tastetest,tastete,tasteten,tastetet,tasteten,getastet,,,"grope, fumble, feel for",to feel/to touch,Er tastet im Dunkeln.,He is feeling around in the dark.,,,
511,reg,tauchen,tauche,tauchst,taucht,tauchen,taucht,tauchen,tauchte,tauchtest,tauchte,tauchten,tauchtet,tauchten,getaucht,,,tauchen,to dive,Sie taucht im Meer.,She is diving in the sea.,x,,
512,reg,tauchen ,tauche,tauchst,taucht,tauchen,taucht,tauchen,tauchte,tauchtest,tauchte,tauchten,tauchtet,tauchten,getaucht,,,"dive, douse, plunge",to dive,Sie taucht im Meer.,She is diving in the sea.,,,
513,reg,tauschen ,tausche,tauschst,tauscht,tauschen,tauscht,tauschen,tauschte,tauschtest,tauschte,tauschten,tauschtet,tauschten,getauscht,,,"barter, exchange, swap",to exchange,Ich tausche mein Buch gegen deins.,I am exchanging my book for yours.,,,
514,unr,teil.  nehmen,nehme.  teil,nimmst . teil,nimmt.  teil,nehmen.  teil,nehmt.  teil,nehmen.  teil,nahm.  teil,nahmst.  teil,nahm.  teil,nahmen.  teil,nahmt.  teil,nahmen.  teil,teilgenommen,,an (D),teil. nehmen,to participate,Ich nehme an dem Spiel teil.,I am participating in the game.,x,,
515,reg,telefonieren ,telefoniere,telefonierst,telefoniert,telefonieren,telefoniert,telefonieren,telefonierte,telefoniertest,telefonierte,telefonierten,telefoniertet,telefonierten,telefoniert,,,"call, ring, telephone",to make a phone call,Ich telefoniere mit meiner Freundin.,I am making a phone call with my friend.,,,
516,reg,testen,teste,testest,testet,testen,testet,testen,testete,testetest,testete,testeten,testetet,testeten,getestet,,,testen,to test,Wir testen das neue Produkt.,We are testing the new product.,,,
517,reg,trainieren ,trainiere,trainierst,trainiert,trainieren,trainiert,trainieren,trainierte,trainiertest,trainierte,trainierten,trainiertet,trainierten,trainiert,,,"training, educate, practice",to train/to practice,Er trainiert für den Marathon.,He is training for the marathon.,,,
518,reg,transponieren ,transponiere,transponierst,transponiert,transponieren,transponiert,transponieren,transponierte,transponiertest,transponierte,transponierten,transponiertet,transponierten,transponiert,,,transpose,to transpose,Der Musiker transponiert das Lied.,The musician is transposing the song.,,,
519,reg,transportieren ,transpotiere,transportierst,transportiert,transportieren,transportiert,transportieren,transportierte,transportiertest,transportierte,transportierten,transportiertet,transportierten,transportiert,,,"wind on, transport, transfer",to transport,Wir transportieren die Möbel.,We are transporting the furniture.,,,
520,reg,träumen,träume,träumst,träumt,träumen,träumt,träumen,träumte,träumtest,träumte,träumten,träumtet,träumten,geträumt,,,träumen,to dream,Ich träume von einer Reise.,I am dreaming of a trip.,x,,
521,unr,treffen ,treffe,triffst,trifft,treffen ,trefft,treffen ,traff,traffst,traff,traffen,trafft,traffen,getroffen ,sich,mit (D),meet up,to meet,Wir treffen uns morgen.,We are meeting tomorrow.,,,
522,reg,trennen ,trenne,trennst,trennt,trennen,trennt,trennen,trennte,trenntest,trennte,trennten,trenntet,trennten,getrennt,,,"serparate, sort, distinguish",to separate,Wir trennen den Müll.,We are separating the garbage.,,,
523,unr,trinken,trinke,trinkst,trinkt,trinken,trinkt,trinken ,trank,trankst,trank,tranken,trankt,tranken,getrunken ,,,drink,to drink,Ich trinke Wasser.,I am drinking water.,,,
524,reg,tropfen ,tropfe,tropfst,tropft,tropfen,tropft,tropfen,tropfte,tropftest,tropfte,tropften,tropftet,tropften,getropft,,,"drip, drop, seep, weep",to drip,Der Wasserhahn tropft.,The faucet is dripping.,,,
525,unr,tun,tue,tust,tut,tun,tut,tun,tat,tatest,tat,taten,tatet,taten,getan,,,do,to do,Was tust du?,What are you doing?,,,
526,reg,üben,übe,übst,übt,üben,übt,üben,übte,übtest,übte,übten,übtet,übten,geübt,,,"train, practice",to practice,Sie übt Klavier.,She is practicing piano.,,,
527,reg,überlegen,überlege,überlegst,überlegt,überlegen,überlegt,überlegen,überlegte,überlegtest,überlegte,überlegten,überlegtet,überlegten,überlegt,sich,,überlegen,to consider/to think over,Ich muss mir das überlegen.,I have to think about that.,x,,
528,reg,übernachten ,übernachte,übernachtest,übernachtet,übernachten,übernachtet,übernachten,übernachtete,übernachtetest,übernachtete,übernachteten,übernachtetet,übernachteten,übernachtet,,,"spent the night, sleep over",to stay the night,Wir übernachten im Hotel.,We are staying the night at a hotel.,,,
529,reg,überraschen,überrasche,überraschst,überrascht,überraschen,überrascht,überraschen,überraschte,überraschtest,überraschte,überraschten,überraschtet,überraschten,überrascht,,,surprise ,to surprise,Ich will dich überraschen.,I want to surprise you.,,,
530,reg,um.  tauschen,tausche. um,tauschst. um,tauscht. um,tauschen. um,tauscht. um,tauschen. um,tauschte. um,tauschtest. um,tauschte. um,tauschten. um,tauschtet. um,tauschten. um,umgetauscht,,,"exchange, change, convert",to exchange/to swap,Ich tausche die Hose um.,I am exchanging the pants.,,,
531,unr,unter.  halten,halte.  unter,hältst.  unter,hält.  unter,halten.  unter,haltet.  unter,halten.  unter,hielt.  unter,hieltst.  unter,hielt.  unter,hielten.  unter,hieltet.  unter,hielten.  unter,untergehalten,sich,mit (D) über (A),unter. halten,to talk/to entertain,Wir unterhalten uns gut.,We are having a good conversation.,x,,
532,unr,unternehmen,unternehme,unternimmst,unternimmt,unternehmen,unternehmt,unternehmen,unternahm,unternahmst,unternahm,unternahmen,unternahmt,unternahmen,unternommen,,,unternehmen,to undertake/to do,Wir unternehmen eine Reise.,We are taking a trip.,,,
533,reg,unterrichten,unterrichte,unterrichtest,unterrichtet,unterrichten,unterrichtet,unterrichten,unterrichtete,unterrichtetest,unterrichtete,unterrichteten,unterrichtetet,unterrichteten,unterrichtet,,,unterrichten,to teach,Sie unterrichtet Deutsch.,She is teaching German.,x,,
534,unr,unterscheiden,unterscheide,unterscheidest,unterscheidet,unterscheiden,unterscheidet,unterscheiden,unterschied,unterschied(e)st ,unterschied,unterschieden,unterschiedet,unterschieden,unterschieden,(sich),,unter. scheiden,to distinguish/to differentiate,Ich kann die beiden nicht unterscheiden.,I can't distinguish between the two.,x,,
535,unr,unterstreichen,unterstreiche,unterstreichst,unterstreicht,unterstreichen,unterstreicht,unterstreichen,unterstrich,unterstrichst,unterstrich,unterstrichen,unterstricht,unterstrichen,unterstrichen ,,,underline,to underline,Er unterstreicht die wichtigen Wörter.,He is underlining the important words.,,,
536,reg,urlauben,urlaube,urlaubst,urlaubt,urlauben,urlaubt,urlauben,urlaubte,urlaubtest,urlaubte,urlaubten,urlaubtet,urlaubten,geurlaubt,,,"holiday, vacation ",to go on vacation,Wir urlauben in Italien.,We are vacationing in Italy.,,,
537,reg,variieren ,variiere,variierst,variiert,variieren,variiert,variieren,variierte,variiertest,variierte,variierten,variiertet,variierten,variiert,,,"vary, modify, diversify",to vary,Die Preise variieren.,The prices vary.,,,
538,reg,verabreden ,verabrede,verabredest,verabredet,verabreden,verabredet,verabreden,verabredete,verabredetest,verabredete,verabredeten,verabredetet,verabredeten,verabredet,sich,mit (D),"appoint, agree, arrange",to make an appointment,Wir verabreden uns zum Essen.,We are making an appointment to eat.,,,
539,reg,verabschieden ,verabschiede,verabschiedest,verabschiedet,verabschieden,verabschiedet,verabschieden,verabschiedete,verabschiedetest,verabschiedete,verabschiedeten,verabschiedetet,verabschiedeten,verabschiedet,sich,von (D),"say goodbye, pass, adopt",to say goodbye,Wir verabschieden uns von den Gästen.,We are saying goodbye to the guests.,,,
540,unr,verbringen,verbringe,verbringst,verbringt,verbringen,verbringt,verbringen,verbrachte,verbrachtest,verbrachte,verbrachten,verbrachtet,verbrachten,verbracht,,,verbringen,to spend (time),Wir verbringen den Sommer am Meer.,We are spending the summer at the sea.,,,
541,reg,verdienen,verdiene,verdienst,verdient,verdienen,verdient,verdienen,verdiente,verdientest,verdiente,verdienten,verdientet,verdienten,verdient,,,"ern, deserve, make money",to earn,Er verdient viel Geld.,He earns a lot of money.,,,
542,unr,vergleichen,vergleiche,vergleichst,vergleicht,vergleichen,vergleicht,vergleichen,verglich,verglichst,verglich,verglichen,verglicht,verglichen,verglichen,,,vergleichen,to compare,Wir vergleichen die Preise.,We are comparing the prices.,x,,
543,unr,verhalten,verhalte,verhältst,verhält,verhalten,verhaltet,verhalten,verhielt,verhieltest,verhielt,verhielten,verhieltet,verhielten,verhalten,sich,,verhalten,to behave/to act,Er verhält sich ruhig.,He is behaving calmly.,,,
544,reg,verheiraten,verheirate,verheiratest,verheiratet,verheiraten,verheiratet,verheiraten,verheiratete,verheiratetest,verheiratete,verheirateten,verheiratetet,verheirateten,verheiratet,,,"marry, wed, get married",to marry off,Er verheiratet seine Tochter.,He is marrying off his daughter.,,,
545,reg,verienen,vereine,vereinst,vereint,vereinen,vereint,vereinen,vereinte,vereintest,vereinte,vereinten,vereintet,vereinten,vereint,,,"unite, join, combine",to soil (archaic),Er verient die Kleidung.,He soils the clothes.,,,
546,reg,verkaufen,verkaufe,verkaufst,verkauft,verkaufen,verkauft,verkaufen,verkaufte,verkauftest,verkaufte,verkauften,verkauftet,verkauften,verkauft,,,"sell, dispose, market",to sell,Er verkauft sein Haus.,He is selling his house.,,,
547,reg,verkleiden,verkleide,verkleidest,verkleidet,verkleiden,verkleidet,verkleiden,verkleidete,verkleidetest,verkleidete,verkleideten,verkleidetet,verkleideten,verkleidet,,,"dress up, disguise",to disguise/to dress up,Sie verkleidet sich als Hexe.,She is dressing up as a witch.,,,
548,unr,verlassen,verlasse,verlässt,verlässt,verlassen,verlasst,verlassen,verließ,verließt,verließ,verließen,verließt,verließen,verlassen,sich,auf (A),verlassen,to leave,Er verlässt das Haus.,He is leaving the house.,x,,
549,reg,verletzen ,verletze,verletzt,verletzt,verletzen,verletzt,verletzen,verletzte,verletztest,verletzte,verletzten,verletztet,verletzten,verletzt,,,"hurt, harm, wound",to injure/to hurt,Er hat sich verletzt.,He has injured himself.,,,
550,unr,verlieren,verliere,verlierst,verliert,verlieren,verliert,verlieren,verlor,verlorst,verlor,verloren,verlort,verloren,verloren,,,verlieren,to lose,Ich verliere meine Geduld.,I am losing my patience.,,,
551,reg,vermieten ,vermiete,vermiest,vermietet,vermieten,vermietet,vermieten,vermietete,vermietest,vermietete,vermieteten,vermietetet,vermieteten,vermietet,,,"charter, lease, rent to",to rent out,Er vermietet eine Wohnung.,He is renting out an apartment.,,,
552,reg,verpassen,verpasse,verpasst,verpasst,verpassen,verpasst,verpassen,verpasste,verpasstest,verpasste,verpassten,verpasstet,verpassten,verpasst,,,"miss, balk","to miss (a bus, etc.)",Ich habe den Bus verpasst.,I missed the bus.,,,
553,unr,verraten,verrate,verräst,verrät,verraten,verratet,verraten,verriet,verrietest,verriet,verrieten,verrietet,verrieten,verraten ,,,"reveal, disclose, betray",to betray/to reveal,Er hat das Geheimnis verraten.,He revealed the secret.,,,
554,reg,verschicken,verschicke,verschickst,verschickt,verschicken,verschickt,verschicken,verschickte,verschicktest,verschickte,verschickten,verschicktet,verschickten,verschickt,,,"send, post, mail, foward",to send out,Wir verschicken die Einladungen.,We are sending out the invitations.,,,
555,unr,verschieben ,verschiebe,verschiebst,verschiebt,verschieben ,verschiebt,verschieben ,verschob,verschobst,verschob,verschoben,verschobt,verschoben,verschoben ,,,"postpone, move, shift",to postpone/to shift,Wir müssen das Treffen verschieben.,We have to postpone the meeting.,,,
556,reg,verschwenden ,verschwende,verschwendest,verschwendet,verschwenden,verschwendet,verschwenden,verschwendete,verschwendetest,verschwendete,verschwendeten,verschwendetet,verschwendeten,verschwendet,,,"waste, squander, lavish",to waste,Verschwende kein Wasser.,Don't waste water.,,,
557,unr,verstecken ,verstecke,versteckst,versteckt,verstecken,versteckt,verstecken,versteckte,verstecktest,versteckte,versteckten,verstecktet,versteckten,versteckt,sich,,"hide, dodge, bury",to hide,Er versteckt das Geschenk.,He is hiding the gift.,,,
558,reg,verstehe,verstehe,verstehst,versteht,verstehen,versteht,verstehen,verstand,verstandest,verstand,verstanden,verstandet,verstanden,verstanden,,,verstehe,to understand,Ich verstehe dich.,I understand you.,,,
559,unr,verstehen,verstehe,verstehst,versteht,verstehen ,versteht,verstehen ,verstand,verstandest,verstand,verstanden,verstandet,verstanden,verstanden ,,,verstehen,to understand,Ich verstehe die Frage nicht.,I don't understand the question.,,,
560,reg,versuchen,versuche,versuchst,versucht,versuchen,versucht,versuchen,versuchte,versuchtest,versuchte,versuchten,versuchtet,versuchten,versucht,,,versuchen,to try,"Ich versuche, das zu reparieren.",I am trying to repair that.,,probieren,
561,reg,verteilen ,verteile,verteilst,verteilt,verteilen,verteilt,verteilen,verteilte,verteiltest,verteilte,verteilten,verteiltet,verteilten,verteilt,,,"distribute, arrange, control",to distribute,Sie verteilt die Flyer.,She is distributing the flyers.,,,
562,reg,vertrauten,vertraue,vertraust,vertraut,vertrauen,vertraut,vertrauen,vertraute,vertrautest,vertraute,vertrauten,vertrautet,vertrauten,vertraut,,,vertrauten,to confide in (archaic),Sie vertrauten ihm ihre Geheimnisse an.,They confided their secrets to him.,x,,
563,reg,verunfallen,verunfalle,verunfallst,verunfallt,verunfallen,verunfallt,verunfallen,verunfallte,verunfalltest,verunfallte,verunfallten,verunfalltet,verunfallten,verunfallt,,,have an accident,to have an accident,Er ist verunfallt.,He has had an accident.,,,
564,unr,verwenden ,verwende,verwendest,verwendet,verwenden,verwendet,verwenden,verwendete,verwendetest,verwendete,verwendeten,verwendetet,verwendeten,verwendet,,,"use, utilise",to use/to apply,Er verwendet ein neues Programm.,He is using a new program.,,,
565,reg,verzichten ,verzichte,verzichtest,verzichtet,verzichten,verzichtet,verzichten,verzichtete,verzichtetest,verzichtete,verzichteten,verzichtetet,verzichteten,verzichtet,,,"forgo, resign, renounce",to abstain from/to renounce,Ich verzichte auf Schokolade.,I am abstaining from chocolate.,,,
566,reg,vor.  bereiten,bereite. vor,bereitest. vor,bereitet. vor,bereiten. vor,bereitet. vor,bereiten. vor,bereitete. vor,bereitetest. vor,bereitete. vor,bereiteten. vor,bereitetet. vor,bereiteten. vor,vorbereitet,sich,"auf, für (A)","prepare, set up",to prepare,Ich bereite das Abendessen vor.,I am preparing dinner.,,,
567,reg,vor.  stellen ,stelle. vor,stellst. vor,stellt. vor,stellen. vor,stellt. vor,stellen. vor,stellte. vor,stelltest. vor,stellte. vor,stellten. vor,stelltet. vor,stellten. vor,vorgestellt,,,"present, propose, introduce",to introduce/to imagine,Ich stelle dir meinen Freund vor.,I am introducing you to my friend.,,,
568,unr,vorbei.  gehen,gehe.  vorbei,gehst.  vorbei,geht.  vorbei,gehen.  vorbei,geht.  vorbei,gehen.  vorbei,ging.  vorbei,gingst.  vorbei,ging.  vorbei,gingen.  vorbei,gingt.  vorbei,gingen.  vorbei,vorbeigegangen ,,,go through/ over,to pass by,Ich gehe am Laden vorbei.,I am walking past the store.,,,
569,reg,wagen,wage,wagst,wagt,wagen,wagt,wagen,wagte,wagtest,wagte,wagten,wagtet,wagten,gewagt,,,"dare, venture, chance",to dare,Er wagt einen Sprung.,He dares to jump.,,,
570,reg,wählen,wähle,wählst,wählt,wählen,wählt,wählen,wählte,wähltest,wählte,wählten,wähltet,wählten,gewählt,,,"choose, select, adopt, dial, vote",to choose/to vote,Wir wählen einen neuen Präsidenten.,We are voting for a new president.,,,
571,unr,wahr.  nehmen,nehme.  wahr,nimmst.  wahr,nimmt.  wahr,nehmen.  wahr,nehmt.  wahr,nehmen.  wahr,nahm.  wahr,nahmst.  wahr,nahm.  wahr,nahmen.  wahr,nahmt.  wahr,nahmen.  wahr,wahrgenommen,,,wahr. nehmen,to perceive/to notice,Ich nehme die Gefahr wahr.,I perceive the danger.,,,
572,reg,wandern,wandere,wanderst,wandert,wandern,wandert,wandern,wanderte,wandertest,wanderte,wanderten,wandertet,wanderten,gewandert,,,"hike, travel, move",to hike/to wander,Wir wandern in den Bergen.,We are hiking in the mountains.,,,
573,reg,wärmen,wärme,wärmst,wärmt,wärmen,wärmt,wärmen,wärmte,wärmtest,wärmte,wärmten,wärmtet,wärmten,gewärmt,,,"warm up, heat up",to warm,Die Sonne wärmt die Erde.,The sun is warming the earth.,,,
574,reg,warten,warte,wartest,wartet,warten,wartet,warten,wartete,wartetest,wartete,warteten,wartetet,warteten,gewartet,,,"wait, maintain",to wait,Ich warte auf den Bus.,I am waiting for the bus.,,,
575,reg,warten,warte,wartest,wartet,warten,wartet,warten,wartete,wartetest,wartete,warteten,wartetet,warteten,gewartet,,auf (A),warten,to wait,Ich warte auf den Bus.,I am waiting for the bus.,x,,
576,reg,wechseln ,wechsle,wechselst,wechselt,wechseln,wechselt,wechseln,wechselte,wechseltest,wechselte,wechselten,wechseltet,wechselten,gewechselt,,,change,to change/to switch,Wir wechseln das Thema.,We are changing the subject.,,,
577,reg,wecken ,wecke,weckst,weckt,wecken,weckt,wecken,weckte,wecktest,weckte,weckten,wecktet,weckten,geweckt,,,"wake up, wake",to wake up,Er weckt seine Kinder.,He wakes up his children.,,,
578,unr,weg.  laufen,laufe.  weg,läufst.  weg,läuft.  weg,laufen. weg,lauft.  weg,laufen.  weg,lief.  weg ,liefst.  weg,lief.  weg ,liefen.  weg,lieft.  weg ,liefen.  weg,weggelaufen,,,weg. laufen,to run away,Der Hund läuft weg.,The dog is running away.,x,,
579,unr,weh.  tun,tue.  weh,tust.  weh,tut.  weh,tun.  weh,tut.  weh,tun.  weh,tat.  weh,tatest.  weh,tat.  weh,taten.  weh,tatet.  weh,taten.  weh,wehgetan ,,,làm đau,to hurt,Mein Kopf tut weh.,My head hurts.,,,
580,reg,wehen,wehe,wehst,weht,wehen,weht,wehen,wehte,wehtest,wehte,wehten,wehtet,wehten,geweht,,,wehen,to blow (wind),Der Wind weht stark.,The wind is blowing strongly.,x,,
581,reg,weiden,weide,weidest,weidet,weiden,weidet,weiden,weidete,weidetest,weidete,weideten,weidetet,weideten,geweidet,,,"graze, crop, pasture",to graze,Die Kühe weiden auf der Wiese.,The cows are grazing in the meadow.,,,
582,reg,weißen,weiße,weißest,weißet,weißen,weißet,weißen,weißete,weißetest,weißete,weißeten,weißetet,weißeten,geweißet,,,"know, whiten, chalk",to whitewash,Er weißt die Wand.,He is whitewashing the wall.,,,
583,unr,weiter.  helfen,helfe.  weiter ,hilfst.  weiter ,hilft.  weiter ,helfen.  weiter ,helft . weiter ,helfen.  weiter ,half.  weiter ,halfst.  weiter,half . weiter ,halfen.  weiter ,halft.  weiter ,halfen.  weiter ,weitergeholfen,,,weiter (pre),to help further/to assist,Kannst du mir weiterhelfen?,Can you assist me further?,,,
584,reg,weiter.  reden,rede. weiter,redest. weiter,redet. weiter,reden. weiter,redet. weiter,reden. weiter,redete. weiter,redetest. weiter,redete. weiter,redeten. weiter,redetet. weiter,redeten. weiter,weitergesagt,,,weiter (pre),to continue talking,Er redet einfach weiter.,He just continues talking.,,,
585,reg,weiter.  schicken,schicke. weiter,schickst. weiter,schickt. weiter,schicken. weiter,schickt. weiter,schicken. weiter,schickte. weiter,schicktest. weiter,schickte. weiter,schickten. weiter,schicktet. weiter,schickten. weiter,weitergeschickt,,,"forward, send on",to forward (a message),Schickst du mir die E-Mail weiter?,Are you forwarding the email to me?,,,
586,reg,weiter.  suchen ,suche. weiter,suchst. weiter,sucht. weiter,suchen. weiter,sucht. weiter,suchen. weiter,suchte. weiter,suchtest. weiter,suchte. weiter,suchten. weiter,suchtet. weiter,suchten. weiter,weitergesucht,,,continue searching,to continue searching,Wir müssen weitersuchen.,We have to continue searching.,,,
587,unr,werden,werde,wirst,wird,werden ,werdet,werden,wurde,wurdest,wurde,wurden,wurdet,wurden,geworden ,,,become,to become/to get,Es wird kalt.,It is getting cold.,,,
588,reg,werten,werte,wertest,wertet,werten,wertet,werten,wertete,wertetest,wertete,werteten,wertetet,werteten,gewertet,,,"rate, grade, value, classify",to value/to evaluate,Er wertet die Ergebnisse aus.,He is evaluating the results.,,,
589,reg,wichsen,wichse,wichst,wichst,wichsen,wichst,wichsen,wichste,wichstest,wichste,wichsten,wichstet,wichsten,gewichst,,,"black, polish, wax",to polish (colloquial),Er wichst die Schuhe.,He is polishing the shoes.,,,
590,reg,wieder.  holen,hole. wieder,holst. wieder,holt. wieder,holen. wieder,holt. wieder,holen. wieder,holte. wieder,holtest. wieder,holte. wieder,holten. wieder,holtet. wieder,holten. wieder,wiederholt,,,"repeat, restate",to repeat/to fetch again,Er holt den Ball wieder.,He is fetching the ball again.,,,
591,unr,wieder.  sehen ,sehe.  wieder,siehst.  wieder,sieht.  wieder,sehen.  wieder,seht.  wieder,sehen.  wieder,sah.  wieder,sahst.  wieder,sah.  wieder,sahen.  wieder,saht.  wieder,sahen.  wieder,wiedergesehen ,,,meet again (gap lai),to see again,Wir sehen uns bald wieder.,We will see each other again soon.,,,
592,reg,wiederholen,wiederhole,wiederholst,wiederholt,wiederholen,wiederholt,wiederholen,wiederholte,wiederholtest,wiederholte,wiederholen,wiederholtet,wiederholen,wiederholt,,,wiederholen,to repeat,Kannst du das bitte wiederholen?,Can you please repeat that?,"wieder = again, can stay alone or kommt auf das Verb an",,
593,reg,wiehern,wiehere,wieherst,wiehert,wiehern,wiehert,wiehern,wieherte,wiehertest,wieherte,wieherten,wiehertet,wieherten,gewiehert,,,"neigh, whinny",to neigh,Das Pferd wiehert.,The horse is neighing.,,,
594,reg,willkommen,heiße. willkommen,heißt. willkommen,heißt. willkommen,heißen. willkommen,heißt. willkommen,heißen. willkommen,hieß. willkommen,hießest. willkommen,hieß. willkommen,hießen. willkommen,hießet. willkommen,hießen. willkommen,willkommen geheißen,,,willkommen,to welcome,Wir heißen dich willkommen.,We welcome you.,,,
595,reg,wirtschaften ,wirtschafte,wirtschaftest,wirtschaftet,wirtschaften,wirtschaftet,wirtschaften,wirtschaftete,wirtschaftetest,wirtschaftete,wirtschafteten,wirtschaftetet,wirtschafteten,gewirtschaftet,,,"busy oneself, keep house",to manage an economy/to be economical,Er wirtschaftet gut.,He manages his money well.,,,
596,unr,wissen,weiß ,Weißt,weiß,wissen,wisst ,wissen ,wusste,wusstest,wusste,wussten,wusstet,wussten,gewusst,,,know,to know (a fact),Ich weiß die Antwort.,I know the answer.,,,
597,reg,wohnen,wohne,wohnst,wohnt,wohnen,wohnt,wohnen,wohnte,wohntest,wohnte,wohnten,wohntet,wohnten,gewohnt,,,wohnen,to live/to reside,Wir wohnen in Berlin.,We live in Berlin.,,,
598,unr,wollen,will,willst,will,wollen,wollt,wollen,wollte,wolltest,wollte,wollten,wolltet,wollten,gewollt ,,,want,to want to,Ich will ein Eis.,I want an ice cream.,,,
599,reg,wühlen ,wühle,wühlst,wühlt,wühlen,wühlt,wühlen,wühlte,wühltest,wühlte,wühlten,wühltet,wühlten,gewühlt,,,"dig, grub, root",to rummage/to dig,Er wühlt in der Erde.,He is digging in the earth.,,,
600,reg,wundern,wundere,wunderst,wundert,wundern,wundert,wundern,wunderte,wundertest,wunderte,wunderten,wundertet,wunderten,gewundert,sich,über (A),wundern,to be surprised/to wonder,"Es wundert mich, dass er da ist.",I am surprised that he is there.,x,,
601,reg,wünschen ,wünsche,wünschst,wünscht,wünschen,wünscht,wünschen,wünschte,wünschtest,wünschte,wünschten,wünschtet,wünschten,gewünscht,,,"wish, will, want, desire, require ",to wish,Ich wünsche dir alles Gute.,I wish you all the best.,,,
602,reg,würdigen ,würdige,würdigst,würdigt,würdigen,würdigt,würdigen,würdigte,würdigtest,würdigte,würdigten,würdigtest,würdigten,gewürdigt,,,"acknowledge, honor, savour",to appreciate/to honor,Wir würdigen seine Arbeit.,We appreciate his work.,,,
603,reg,würfeln,würfle,würfelst,würfelt,würfeln,würfelt,würfeln,würfelte,würfeltest,würfelte,würfelten,würfeltet,würfelten,gewürfelt,,,"dice, cub, roll a dice",to dice/to roll a dice,Er würfelt eine Sechs.,He rolls a six.,,,
604,reg,zahlen,zahle,zahlst,zahlt,zahlen,zahlt,zahlen,zahlte,zahltest,zahlte,zahlten,zahltet,zahlten,gezahlt,,,zahlen,to pay,Ich zahle mit Karte.,I am paying with a card.,,,
605,reg,zeichnen ,zeichne,zeichnest,zeichnet,zeichnen,zeichnet,zeichnen,zeichnete,zeichnetest,zeichnete,zeichneten,zeichnetet,zeichneten,gezeichnet,,,"draw, paint",to draw,Sie zeichnet ein Porträt.,She is drawing a portrait.,,,
